S.No,Q.No,Problem,SuccessRate,Difficulty,CHECK,#Topic Coverd,Notes,,,,,,,,,,,,,,,,,
34,603,Consecutive Available Seats,0.65%,Easy,,,,,,,,,,,,,,,,,,,,
35,607,Sales Person,0.66%,Easy,,,,,,,,,,,,,,,,,,,,
36,608,Tree Node,0.74%,Med.,,,,,,,,,,,,,,,,,,,,
37,610,Triangle Judgement,0.74%,Easy,,,,,,,,,,,,,,,,,,,,
38,612,Shortest Distance in a Plane,0.61%,Med.,,,,,,,,,,,,,,,,,,,,
39,613,Shortest Distance in a Line,0.80%,Easy,,,,,,,,,,,,,,,,,,,,
40,614,Second Degree Follower,0.40%,Med.,,,,,,,,,,,,,,,,,,,,
41,615,Average Salary: Departments VS Company,0.57%,Hard,,,,,,,,,,,,,,,,,,,,
42,618,Students Report By Geography,0.64%,Hard,,,,,,,,,,,,,,,,,,,,
43,619,Biggest Single Number,0.70%,Easy,,,,,,,,,,,,,,,,,,,,
44,620,Not Boring Movies,0.75%,Easy,,,,,,,,,,,,,,,,,,,,
45,626,Exchange Seats,0.73%,Med.,,,,,,,,,,,,,,,,,,,,
46,627,Swap Salary,0.84%,Easy,,,,,,,,,,,,,,,,,,,,
47,1045,Customers Who Bought All Products,0.63%,Med.,,,,,,,,,,,,,,,,,,,,
48,1050,Actors and Directors Who Cooperated At Least Three Times,0.71%,Easy,,,,,,,,,,,,,,,,,,,,
49,1068,Product Sales Analysis I,0.85%,Easy,,,,,,,,,,,,,,,,,,,,
50,1069,Product Sales Analysis II,0.82%,Easy,,,,,,,,,,,,,,,,,,,,
51,1070,Product Sales Analysis III,0.45%,Med.,,,,,,,,,,,,,,,,,,,,
52,1075,Project Employees I,0.66%,Easy,,,,,,,,,,,,,,,,,,,,
53,1076,Project Employees II,0.50%,Easy,,,,,,,,,,,,,,,,,,,,
54,1077,Project Employees III,0.77%,Med.,,,,,,,,,,,,,,,,,,,,
55,1082,Sales Analysis I,0.75%,Easy,,,,,,,,,,,,,,,,,,,,
56,1083,Sales Analysis II,0.50%,Easy,,,,,,,,,,,,,,,,,,,,
57,1084,Sales Analysis III,0.47%,Easy,,,,,,,,,,,,,,,,,,,,
58,1097,Game Play Analysis V,0.51%,Hard,,,,,,,,,,,,,,,,,,,,
59,1098,Unpopular Books,0.43%,Med.,,,,,,,,,,,,,,,,,,,,
60,1107,New Users Daily Count,0.45%,Med.,,,,,,,,,,,,,,,,,,,,
61,1112,Highest Grade For Each Student,0.71%,Med.,,,,,,,,,,,,,,,,,,,,
62,1113,Reported Posts,0.65%,Easy,,,,,,,,,,,,,,,,,,,,
63,1126,Active Businesses,0.66%,Med.,,,,,,,,,,,,,,,,,,,,
64,1127,User Purchase Platform,0.47%,Hard,,,,,,,,,,,,,,,,,,,,
65,1132,Reported Posts II,0.32%,Med.,,,,,,,,,,,,,,,,,,,,
66,1141,User Activity for the Past 30 Days I,0.50%,Easy,,,,,,,,,,,,,,,,,,,,
67,1142,User Activity for the Past 30 Days II,0.36%,Easy,,,,,,,,,,,,,,,,,,,,
68,1148,Article Views I,0.77%,Easy,,,,,,,,,,,,,,,,,,,,
69,1149,Article Views II,0.47%,Med.,,,,,,,,,,,,,,,,,,,,
70,1158,Market Analysis I,0.57%,Med.,,,,,,,,,,,,,,,,,,,,
71,1159,Market Analysis II,0.58%,Hard,,,,,,,,,,,,,,,,,,,,
72,1164,Product Price at a Given Date,0.57%,Med.,,,,,,,,,,,,,,,,,,,,
73,1173,Immediate Food Delivery I,0.81%,Easy,,,,,,,,,,,,,,,,,,,,
74,1174,Immediate Food Delivery II,0.55%,Med.,,,,,,,,,,,,,,,,,,,,
75,1179,Reformat Department Table,0.77%,Easy,,,,,,,,,,,,,,,,,,,,
76,1193,Monthly Transactions I,0.58%,Med.,,,,,,,,,,,,,,,,,,,,
77,1194,Tournament Winners,0.50%,Hard,,,,,,,,,,,,,,,,,,,,
78,1204,Last Person to Fit in the Bus,0.69%,Med.,,,,,,,,,,,,,,,,,,,,
79,1205,Monthly Transactions II,0.42%,Med.,,,,,,,,,,,,,,,,,,,,
80,1211,Queries Quality and Percentage,0.49%,Easy,,,,,,,,,,,,,,,,,,,,
81,1212,Team Scores in Football Tournament,0.56%,Med.,,,,,,,,,,,,,,,,,,,,
82,1225,Report Contiguous Dates,0.57%,Hard,,,,,,,,,,,,,,,,,,,,
83,1241,Number of Comments per Post,0.66%,Easy,,,,,,,,,,,,,,,,,,,,
84,1251,Average Selling Price,0.37%,Easy,,,,,,,,,,,,,,,,,,,,
85,1264,Page Recommendations,0.65%,Med.,,,,,,,,,,,,,,,,,,,,
86,1270,All People Report to the Given Manager,0.84%,Med.,,,,,,,,,,,,,,,,,,,,
87,1280,Students and Examinations,0.60%,Easy,,,,,,,,,,,,,,,,,,,,
88,1285,Find the Start and End Number of Continuous Ranges,0.82%,Med.,,,,,,,,,,,,,,,,,,,,
89,1294,Weather Type in Each Country,0.67%,Easy,,,,,,,,,,,,,,,,,,,,
90,1303,Find the Team Size,0.90%,Easy,,,,,,,,,,,,,,,,,,,,
91,1308,Running Total for Different Genders,0.86%,Med.,,,,,,,,,,,,,,,,,,,,
92,1321,Restaurant Growth,0.57%,Med.,,,,,,,,,,,,,,,,,,,,
93,1322,Ads Performance,0.59%,Easy,,,,,,,,,,,,,,,,,,,,
94,1327,List the Products Ordered in a Period,0.72%,Easy,,,,,,,,,,,,,,,,,,,,
95,1336,Number of Transactions per Visit,0.48%,Hard,,,,,,,,,,,,,,,,,,,,
96,1341,Movie Rating,0.42%,Med.,,,,,,,,,,,,,,,,,,,,
97,1350,Students With Invalid Departments,0.90%,Easy,,,,,,,,,,,,,,,,,,,,
98,1355,Activity Participants,0.72%,Med.,,,,,,,,,,,,,,,,,,,,
99,1364,Number of Trusted Contacts of a Customer,0.75%,Med.,,,,,,,,,,,,,,,,,,,,
100,1369,Get the Second Most Recent Activity,0.68%,Hard,,,,,,,,,,,,,,,,,,,,
101,1378,Replace Employee ID With The Unique Identifier,0.83%,Easy,,,,,,,,,,,,,,,,,,,,
102,1384,Total Sales Amount by Year,0.61%,Hard,,,,,,,,,,,,,,,,,,,,
103,1393,Capital Gain/Loss,0.85%,Med.,,,,,,,,,,,,,,,,,,,,
104,1398,Customers Who Bought Products A and B but Not C,0.72%,Med.,,,,,,,,,,,,,,,,,,,,
105,1407,Top Travellers,0.57%,Easy,,,,,,,,,,,,,,,,,,,,
106,1412,Find the Quiet Students in All Exams,0.58%,Hard,,,,,,,,,,,,,,,,,,,,
107,1421,NPV Queries,0.83%,Easy,,,,,,,,,,,,,,,,,,,,
108,1435,Create a Session Bar Chart,0.75%,Easy,,,,,,,,,,,,,,,,,,,,
109,1440,Evaluate Boolean Expression,0.72%,Med.,,,,,,,,,,,,,,,,,,,,
110,1445,Apples & Oranges,0.86%,Med.,,,,,,,,,,,,,,,,,,,,
111,1454,Active Users,0.37%,Med.,,,,,,,,,,,,,,,,,,,,
112,1459,Rectangles Area,0.69%,Med.,,,,,,,,,,,,,,,,,,,,
113,1468,Calculate Salaries,0.78%,Med.,,,,,,,,,,,,,,,,,,,,
114,1479,Sales by Day of the Week,0.77%,Hard,,,,,,,,,,,,,,,,,,,,
115,1484,Group Sold Products By The Date,0.78%,Easy,,,,,,,,,,,,,,,,,,,,
116,1495,Friendly Movies Streamed Last Month,0.49%,Easy,,,,,,,,,,,,,,,,,,,,
117,1501,Countries You Can Safely Invest In,0.51%,Med.,,,,,,,,,,,,,,,,,,,,
118,1511,Customer Order Frequency,0.67%,Easy,,,,,,,,,,,,,,,,,,,,
119,1517,Find Users With Valid E-Mails,0.42%,Easy,,,,,,,,,,,,,,,,,,,,
120,1527,Patients With a Condition,0.39%,Easy,,,,,,,,,,,,,,,,,,,,
121,1532,The Most Recent Three Orders,0.69%,Med.,,,,,,,,,,,,,,,,,,,,
122,1543,Fix Product Name Format,0.59%,Easy,,,,,,,,,,,,,,,,,,,,
123,1549,The Most Recent Orders for Each Product,0.65%,Med.,,,,,,,,,,,,,,,,,,,,
124,1555,Bank Account Summary,0.52%,Med.,,,,,,,,,,,,,,,,,,,,
125,1565,Unique Orders and Customers Per Month,0.82%,Easy,,,,,,,,,,,,,,,,,,,,
126,1571,Warehouse Manager,0.88%,Easy,,,,,,,,,,,,,,,,,,,,
127,1581,Customer Who Visited but Did Not Make Any Transactions,0.67%,Easy,,,,,,,,,,,,,,,,,,,,
128,1587,Bank Account Summary II,0.83%,Easy,,,,,,,,,,,,,,,,,,,,
129,1596,The Most Frequently Ordered Products for Each Customer,0.78%,Med.,,,,,,,,,,,,,,,,,,,,
130,1607,Sellers With No Sales,0.54%,Easy,,,,,,,,,,,,,,,,,,,,
131,1613,Find the Missing IDs,0.73%,Med.,,,,,,,,,,,,,,,,,,,,
132,1623,All Valid Triplets That Can Represent a Country,0.81%,Easy,,,,,,,,,,,,,,,,,,,,
133,1633,Percentage of Users Attended a Contest,0.59%,Easy,,,,,,,,,,,,,,,,,,,,
134,1635,Hopper Company Queries I,0.48%,Hard,,,,,,,,,,,,,,,,,,,,
135,1645,Hopper Company Queries II,0.40%,Hard,,,,,,,,,,,,,,,,,,,,
136,1651,Hopper Company Queries III,0.66%,Hard,,,,,,,,,,,,,,,,,,,,
137,1661,Average Time of Process per Machine,0.68%,Easy,,,,,,,,,,,,,,,,,,,,
138,1667,Fix Names in a Table,0.61%,Easy,,,,,,,,,,,,,,,,,,,,
139,1677,Product's Worth Over Invoices,0.39%,Easy,,,,,,,,,,,,,,,,,,,,
140,1683,Invalid Tweets,0.85%,Easy,,,,,,,,,,,,,,,,,,,,
141,1693,Daily Leads and Partners,0.87%,Easy,,,,,,,,,,,,,,,,,,,,
142,1699,Number of Calls Between Two Persons,0.81%,Med.,,,,,,,,,,,,,,,,,,,,
143,1709,Biggest Window Between Visits,0.70%,Med.,,,,,,,,,,,,,,,,,,,,
144,1715,Count Apples and Oranges,0.76%,Med.,,,,,,,,,,,,,,,,,,,,
145,1729,Find Followers Count,0.69%,Easy,,,,,,,,,,,,,,,,,,,,
146,1731,The Number of Employees Which Report to Each Employee,0.52%,Easy,,,,,,,,,,,,,,,,,,,,
147,1741,Find Total Time Spent by Each Employee,0.87%,Easy,,,,,,,,,,,,,,,,,,,,
148,1747,Leetflex Banned Accounts,0.62%,Med.,,,,,,,,,,,,,,,,,,,,
149,1757,Recyclable and Low Fat Products,0.89%,Easy,,,,,,,,,,,,,,,,,,,,
150,1767,Find the Subtasks That Did Not Execute,0.78%,Hard,,,,,,,,,,,,,,,,,,,,
151,1777,Product's Price for Each Store,0.82%,Easy,,,,,,,,,,,,,,,,,,,,
152,1783,Grand Slam Titles,0.83%,Med.,,,,,,,,,,,,,,,,,,,,
153,1789,Primary Department for Each Employee,0.72%,Easy,,,,,,,,,,,,,,,,,,,,
154,1795,Rearrange Products Table,0.86%,Easy,,,,,,,,,,,,,,,,,,,,
155,1809,Ad-Free Sessions,0.59%,Easy,,,,,,,,,,,,,,,,,,,,
156,1811,Find Interview Candidates,0.61%,Med.,,,,,,,,,,,,,,,,,,,,
157,1821,Find Customers With Positive Revenue this Year,0.88%,Easy,,,,,,,,,,,,,,,,,,,,
158,1831,Maximum Transaction Each Day,0.82%,Med.,,,,,,,,,,,,,,,,,,,,
159,1841,League Statistics,0.53%,Med.,,,,,,,,,,,,,,,,,,,,
160,1843,Suspicious Bank Accounts,0.45%,Med.,,,,,,,,,,,,,,,,,,,,
161,1853,Convert Date Format,0.85%,Easy,,,,,,,,,,,,,,,,,,,,
162,1867,Orders With Maximum Quantity Above Average,0.71%,Med.,,,,,,,,,,,,,,,,,,,,
163,1873,Calculate Special Bonus,0.57%,Easy,,,,,,,,,,,,,,,,,,,,
164,1875,Group Employees of the Same Salary,0.66%,Med.,,,,,,,,,,,,,,,,,,,,
165,1890,The Latest Login in 2020,0.77%,Easy,,,,,,,,,,,,,,,,,,,,
166,1892,Page Recommendations II,0.45%,Hard,,,,,,,,,,,,,,,,,,,,
167,1907,Count Salary Categories,0.63%,Med.,,,,,,,,,,,,,,,,,,,,
168,1917,Leetcodify Friends Recommendations,0.28%,Hard,,,,,,,,,,,,,,,,,,,,
169,1919,Leetcodify Similar Friends,0.43%,Hard,,,,,,,,,,,,,,,,,,,,
170,1934,Confirmation Rate,0.61%,Med.,,,,,,,,,,,,,,,,,,,,
171,1939,Users That Actively Request Confirmation Messages,0.57%,Easy,,,,,,,,,,,,,,,,,,,,
172,1949,Strong Friendship,0.54%,Med.,,,,,,,,,,,,,,,,,,,,
173,1951,All the Pairs With the Maximum Number of Common Followers,0.69%,Med.,,,,,,,,,,,,,,,,,,,,
174,1965,Employees With Missing Information,0.73%,Easy,,,,,,,,,,,,,,,,,,,,
175,1972,First and Last Call On the Same Day,0.51%,Hard,,,,,,,,,,,,,,,,,,,,
176,1978,Employees Whose Manager Left the Company,0.49%,Easy,,,,,,,,,,,,,,,,,,,,
177,1988,Find Cutoff Score for Each School,0.67%,Med.,,,,,,,,,,,,,,,,,,,,
178,1990,Count the Number of Experiments,0.49%,Med.,,,,,,,,,,,,,,,,,,,,
179,2004,The Number of Seniors and Juniors to Join the Company,0.45%,Hard,,,,,,,,,,,,,,,,,,,,
180,2010,The Number of Seniors and Juniors to Join the Company II,0.65%,Hard,,,,,,,,,,,,,,,,,,,,
181,2020,Number of Accounts That Did Not Stream,0.72%,Med.,,,,,,,,,,,,,,,,,,,,
182,2026,Low-Quality Problems,0.85%,Easy,,,,,,,,,,,,,,,,,,,,
183,2041,Accepted Candidates From the Interviews,0.79%,Med.,,,,,,,,,,,,,,,,,,,,
184,2051,The Category of Each Member in the Store,0.71%,Med.,,,,,,,,,,,,,,,,,,,,
185,2066,Account Balance,0.82%,Med.,,,,,,,,,,,,,,,,,,,,
186,2072,The Winner University,0.75%,Easy,,,,,,,,,,,,,,,,,,,,
187,2082,The Number of Rich Customers,0.78%,Easy,,,,,,,,,,,,,,,,,,,,
188,2084,Drop Type 1 Orders for Customers With Type 0 Orders,0.87%,Med.,,,,,,,,,,,,,,,,,,,,
189,2112,The Airport With the Most Traffic,0.72%,Med.,,,,,,,,,,,,,,,,,,,,
190,2118,Build the Equation,0.56%,Hard,,,,,,,,,,,,,,,,,,,,
191,2142,The Number of Passengers in Each Bus I,0.49%,Med.,,,,,,,,,,,,,,,,,,,,
192,2153,The Number of Passengers in Each Bus II,0.40%,Hard,,,,,,,,,,,,,,,,,,,,
193,2159,Order Two Columns Independently,0.61%,Med.,,,,,,,,,,,,,,,,,,,,
194,2173,Longest Winning Streak,0.54%,Hard,,,,,,,,,,,,,,,,,,,,
195,2175,The Change in Global Rankings,0.61%,Med.,,,,,,,,,,,,,,,,,,,,
196,2199,Finding the Topic of Each Post,0.50%,Hard,,,,,,,,,,,,,,,,,,,,
197,2205,The Number of Users That Are Eligible for Discount,0.51%,Easy,,,,,,,,,,,,,,,,,,,,
198,2228,Users With Two Purchases Within Seven Days,0.46%,Med.,,,,,,,,,,,,,,,,,,,,
199,2230,The Users That Are Eligible for Discount,0.51%,Easy,,,,,,,,,,,,,,,,,,,,
200,2238,Number of Times a Driver Was a Passenger,0.72%,Med.,,,,,,,,,,,,,,,,,,,,
201,2252,Dynamic Pivoting of a Table,0.58%,Hard,,,,,,,,,,,,,,,,,,,,
202,2253,Dynamic Unpivoting of a Table,0.69%,Hard,,,,,,,,,,,,,,,,,,,,
203,2292,Products With Three or More Orders in Two Consecutive Years,0.40%,Med.,,,,,,,,,,,,,,,,,,,,
204,2298,Tasks Count in the Weekend,0.82%,Med.,,,,,,,,,,,,,,,,,,,,
205,2308,Arrange Table by Gender,0.70%,Med.,,,,,,,,,,,,,,,,,,,,
206,2314,The First Day of the Maximum Recorded Degree in Each City,0.73%,Med.,,,,,,,,,,,,,,,,,,,,
207,2324,Product Sales Analysis IV,0.76%,Med.,,,,,,,,,,,,,,,,,,,,
208,2329,Product Sales Analysis V,0.71%,Easy,,,,,,,,,,,,,,,,,,,,
209,2339,All the Matches of the League,0.89%,Easy,,,,,,,,,,,,,,,,,,,,
210,2346,Compute the Rank as a Percentage,0.34%,Med.,,,,,,,,,,,,,,,,,,,,
211,2356,Number of Unique Subjects Taught by Each Teacher,0.89%,Easy,,,,,,,,,,,,,,,,,,,,
212,2362,Generate the Invoice,0.76%,Hard,,,,,,,,,,,,,,,,,,,,
213,2372,Calculate the Influence of Each Salesperson,0.84%,Med.,,,,,,,,,,,,,,,,,,,,
214,2377,Sort the Olympic Table,0.80%,Easy,,,,,,,,,,,,,,,,,,,,
215,2388,Change Null Values in a Table to the Previous Value,0.52%,Med.,,,,,,,,,,,,,,,,,,,,
216,2394,Employees With Deductions,0.42%,Med.,,,,,,,,,,,,,,,,,,,,
217,2474,Customers With Strictly Increasing Purchases,0.49%,Hard,,,,,,,,,,,,,,,,,,,,
218,2480,Form a Chemical Bond,0.79%,Easy,,,,,,,,,,,,,,,,,,,,
219,2494,Merge Overlapping Events in the Same Hall,0.35%,Hard,,,,,,,,,,,,,,,,,,,,
220,2504,Concatenate the Name and the Profession,0.79%,Easy,,,,,,,,,,,,,,,,,,,,
221,2668,Find Latest Salaries,0.75%,Easy,,,,,,,,,,,,,,,,,,,,
222,2669,Count Artist Occurrences On Spotify Ranking List,0.74%,Easy,,,,,,,,,,,,,,,,,,,,
223,2686,Immediate Food Delivery III,0.70%,Med.,,,,,,,,,,,,,,,,,,,,
224,2687,Bikes Last Time Used,0.81%,Easy,,,,,,,,,,,,,,,,,,,,
225,2688,Find Active Users,0.45%,Med.,,,,,,,,,,,,,,,,,,,,
226,2701,Consecutive Transactions with Increasing Amounts,0.34%,Hard,,,,,,,,,,,,,,,,,,,,
227,2720,Popularity Percentage,0.55%,Hard,,,,,,,,,,,,,,,,,,,,
228,2738,Count Occurrences in Text,0.55%,Med.,,,,,,,,,,,,,,,,,,,,
229,2752,Customers with Maximum Number of Transactions on Consecutive Days,0.42%,Hard,,,,,,,,,,,,,,,,,,,,
230,2783,Flight Occupancy and Waitlist Analysis,0.38%,Med.,,,,,,,,,,,,,,,,,,,,
231,2837,Total Traveled Distance,0.78%,Easy,,,,,,,,,,,,,,,,,,,,
232,2853,Highest Salaries Difference,0.74%,Easy,,,,,,,,,,,,,,,,,,,,
233,2854,Rolling Average Steps,0.70%,Med.,,,,,,,,,,,,,,,,,,,,
234,2893,Calculate Orders Within Each Interval,0.68%,Med.,,,,,,,,,,,,,,,,,,,,
235,2922,Market Analysis III,0.42%,Med.,,,,,,,,,,,,,,,,,,,,
236,2978,Symmetric Coordinates,0.41%,Med.,,,,,,,,,,,,,,,,,,,,
237,2984,Find Peak Calling Hours for Each City,0.62%,Med.,,,,,,,,,,,,,,,,,,,,
238,2985,Calculate Compressed Mean,0.88%,Easy,,,,,,,,,,,,,,,,,,,,
239,2986,Find Third Transaction,0.54%,Med.,,,,,,,,,,,,,,,,,,,,
240,2987,Find Expensive Cities,0.79%,Easy,,,,,,,,,,,,,,,,,,,,
241,2988,Manager of the Largest Department,0.81%,Med.,,,,,,,,,,,,,,,,,,,,
242,2989,Class Performance,0.89%,Med.,,,,,,,,,,,,,,,,,,,,
243,2990,Loan Types,0.64%,Easy,,,,,,,,,,,,,,,,,,,,
244,2991,Top Three Wineries,0.57%,Hard,,,,,,,,,,,,,,,,,,,,
245,2993,Friday Purchases I,0.81%,Med.,,,,,,,,,,,,,,,,,,,,
246,2994,Friday Purchases II,0.78%,Hard,,,,,,,,,,,,,,,,,,,,
247,2995,Viewers Turned Streamers,0.43%,Hard,,,,,,,,,,,,,,,,,,,,
248,3050,Pizza Toppings Cost Analysis,0.68%,Med.,,,,,,,,,,,,,,,,,,,,
249,3051,Find Candidates for Data Scientist Position,0.76%,Easy,,,,,,,,,,,,,,,,,,,,
250,3052,Maximize Items,0.75%,Hard,,,,,,,,,,,,,,,,,,,,
251,3053,Classifying Triangles by Lengths,0.51%,Easy,,,,,,,,,,,,,,,,,,,,
252,3054,Binary Tree Nodes,0.79%,Med.,,,,,,,,,,,,,,,,,,,,
253,3055,Top Percentile Fraud,0.58%,Med.,,,,,,,,,,,,,,,,,,,,
254,3056,Snaps Analysis,0.58%,Med.,,,,,,,,,,,,,,,,,,,,
255,3057,Employees Project Allocation,0.69%,Hard,,,,,,,,,,,,,,,,,,,,
256,3058,Friends With No Mutual Friends,0.49%,Med.,,,,,,,,,,,,,,,,,,,,
257,3059,Find All Unique Email Domains,0.70%,Easy,,,,,,,,,,,,,,,,,,,,
258,3060,User Activities within Time Bounds,0.40%,Hard,,,,,,,,,,,,,,,,,,,,
259,3061,Calculate Trapping Rain Water,0.82%,Hard,,,,,,,,,,,,,,,,,,,,
260,3087,Find Trending Hashtags,0.61%,Med.,,,,,,,,,,,,,,,,,,,,
261,3089,Find Bursty Behavior,0.37%,Med.,,,,,,,,,,,,,,,,,,,,
262,3103,Find Trending Hashtags II,0.67%,Hard,,,,,,,,,,,,,,,,,,,,
263,3118,Friday Purchase III,0.56%,Med.,,,,,,,,,,,,,,,,,,,,
264,3124,Find Longest Calls,0.63%,Med.,,,,,,,,,,,,,,,,,,,,
265,3126,Server Utilization Time,0.62%,Med.,,,,,,,,,,,,,,,,,,,,
266,3140,Consecutive Available Seats II,0.56%,Med.,,,,,,,,,,,,,,,,,,,,
267,3150,Invalid Tweets II,0.86%,Easy,,,,,,,,,,,,,,,,,,,,
268,3156,Employee Task Duration and Concurrent Tasks,0.42%,Hard,,,,,,,,,,,,,,,,,,,,
269,3166,Calculate Parking Fees and Duration,0.53%,Med.,,,,,,,,,,,,,,,,,,,,
270,3172,Second Day Verification,0.68%,Easy,,,,,,,,,,,,,,,,,,,,
271,3182,Find Top Scoring Students,0.49%,Med.,,,,,,,,,,,,,,,,,,,,
272,3188,Find Top Scoring Students II,0.40%,Hard,,,,,,,,,,,,,,,,,,,,
273,3198,Find Cities in Each State,0.82%,Easy,,,,,,,,,,,,,,,,,,,,
274,3204,Bitwise User Permissions Analysis,0.94%,Med.,,,,,,,,,,,,,,,,,,,,
275,3214,Year on Year Growth Rate,0.52%,Hard,,,,,,,,,,,,,,,,,,,,
276,3220,Odd and Even Transactions,0.69%,Med.,,,,,,,,,,,,,,,,,,,,
277,3230,Customer Purchasing Behavior Analysis,0.36%,Med.,,,,,,,,,,,,,,,,,,,,
278,3236,CEO Subordinate Hierarchy,0.73%,Hard,,,,,,,,,,,,,,,,,,,,
279,3246,Premier League Table Ranking,0.81%,Easy,,,,,,,,,,,,,,,,,,,,
280,3252,Premier League Table Ranking II,0.58%,Med.,,,,,,,,,,,,,,,,,,,,
281,3262,Find Overlapping Shifts,0.60%,Med.,,,,,,,,,,,,,,,,,,,,
282,3268,Find Overlapping Shifts II,0.60%,Hard,,,,,,,,,,,,,,,,,,,,
283,3278,Find Candidates for Data Scientist Position II,0.42%,Med.,,,,,,,,,,,,,,,,,,,,
284,3293,Calculate Product Final Price,0.79%,Med.,,,,,,,,,,,,,,,,,,,,
285,3308,Find Top Performing Driver,0.48%,Med.,,,,,,,,,,,,,,,,,,,,
286,3322,Premier League Table Ranking III,0.71%,Med.,,,,,,,,,,,,,,,,,,,,
287,3328,Find Cities in Each State II,0.69%,Med.,,,,,,,,,,,,,,,,,,,,
288,3338,Second Highest Salary II,0.87%,Med.,,,,,,,,,,,,,,,,,,,,
289,3358,Books with NULL Ratings,0.86%,Easy,,,,,,,,,,,,,,,,,,,,
290,3368,First Letter Capitalization,0.87%,Hard,,,,,,,,,,,,,,,,,,,,
291,3374,First Letter Capitalization II,0.74%,Hard,,,,,,,,,,,,,,,,,,,,
292,3384,Team Dominance by Pass Success,0.76%,Hard,,,,,,,,,,,,,,,,,,,,
293,3390,Longest Team Pass Streak,0.42%,Hard,,,,,,,,,,,,,,,,,,,,
294,3401,Find Circular Gift Exchange Chains,0.54%,Hard,,,,,,,,,,,,,,,,,,,,
295,3415,Find Products with Three Consecutive Digits,0.81%,Easy,,,,,,,,,,,,,,,,,,,,
296,3421,Find Students Who Improved,0.47%,Med.,,,,,,,,,,,,,,,,,,,,
297,3436,Find Valid Emails,0.54%,Easy,,,,,,,,,,,,,,,,,,,,
298,3451,Find Invalid IP Addresses,0.55%,Hard,,,,,,,,,,,,,,,,,,,,
299,3465,Find Products with Valid Serial Numbers,0.45%,Easy,,,,,,,,,,,,,,,,,,,,
300,3475,DNA Pattern Recognition,0.85%,Med.,,,,,,,,,,,,,,,,,,,,
301,3482,Analyze Organization Hierarchy,0.60%,Hard,,,,,,,,,,,,,,,,,,,,
302,3497,Analyze Subscription Conversion,0.75%,Med.,,,,,,,,,,,,,,,,,,,,
303,3521,Find Product Recommendation Pairs,0.63%,Med.,,,,,,,,,,,,,,,,,,,,
